['Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00']
         713805 function calls (694656 primitive calls) in 7.886 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1131/803    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       78    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      984    0.001    0.000    0.001    0.000 typing.py:1252(__eq__)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      266    0.001    0.000    0.001    0.000 _connection.py:248(_server_switch_event)
     2192    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     2192    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      167    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      255    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      437    0.001    0.000    0.001    0.000 socket.py:79(<lambda>)
        2    0.001    0.000    0.145    0.073 _synchronization.py:1(<module>)
      300    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1102    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      509    0.001    0.000    0.001    0.000 enum.py:726(__call__)
       28    0.001    0.000    0.001    0.000 typing.py:2476(overload)
       18    0.001    0.000    0.009    0.001 dataclasses.py:568(_init_fn)
      237    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      418    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      265    0.001    0.000    0.645    0.002 connection_pool.py:401(__iter__)
      265    0.001    0.000    0.646    0.002 default.py:125(__iter__)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       71    0.001    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      106    0.001    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
      479    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      193    0.001    0.000    0.041    0.000 _compiler.py:573(_code)
      417    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
      600    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      265    0.001    0.000    0.645    0.002 http11.py:330(__iter__)
       71    0.000    0.000    0.006    0.000 typing.py:1449(__getitem__)
      418    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      204    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
  456/266    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
        8    0.000    0.000    0.001    0.000 inspect.py:2366(_signature_from_function)
      120    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      634    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      608    0.000    0.000    0.003    0.000 {method 'extend' of 'list' objects}
      709    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
  211/173    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.031    0.015 _sockets.py:1(<module>)
        1    0.000    0.000    0.013    0.013 socket.py:1(<module>)
      446    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
       24    0.000    0.000    0.001    0.000 <frozen abc>:146(update_abstractmethods)
       14    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
     1754    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      238    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       24    0.000    0.000    0.003    0.000 dataclasses.py:1240(dataclass)
       80    0.000    0.000    0.009    0.000 <frozen abc>:105(__new__)
      311    0.000    0.000    0.001    0.000 types.py:192(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      439    0.000    0.000    0.001    0.000 socket.py:89(<lambda>)
      260    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      440    0.000    0.000    0.001    0.000 socket.py:94(<lambda>)
      438    0.000    0.000    0.001    0.000 socket.py:84(<lambda>)
      450    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      112    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      509    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      446    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      421    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       28    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      600    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      613    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      100    0.000    0.000    0.005    0.000 typing.py:1458(copy_with)
     1187    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       28    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       28    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      120    0.000    0.000    0.003    0.000 _htmlparser.py:241(handle_comment)
       24    0.000    0.000    0.010    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 _typedattr.py:1(<module>)
       22    0.000    0.000    0.001    0.000 inspect.py:2712(__init__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  187/125    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      183    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
       24    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      759    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      256    0.000    0.000    0.003    0.000 typing.py:723(<genexpr>)
      628    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      271    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.019    0.009 _streams.py:1(<module>)
      309    0.000    0.000    0.114    0.000 __init__.py:226(compile)
       21    0.000    0.000    0.001    0.000 _receivebuffer.py:104(maybe_extract_lines)
      514    0.000    0.000    0.000    0.000 element.py:1543(get)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       24    0.000    0.000    0.001    0.000 dataclasses.py:250(_recursive_repr)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      262    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      645    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       15    0.000    0.000    0.000    0.000 inspect.py:2998(__init__)
    53/23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.000    0.000    0.013    0.001 dataclasses.py:638(_frozen_get_del_attr)
      303    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
    71/54    0.000    0.000    0.141    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      274    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      300    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.011    0.011 memory.py:1(<module>)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.001    0.001 http_proxy.py:1(<module>)
        2    0.000    0.000    0.206    0.103 connection.py:1(<module>)
      193    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       57    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        3    0.000    0.000    0.002    0.001 typing.py:2780(__new__)
       37    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       61    0.000    0.000    0.002    0.000 _util.py:84(validate)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       24    0.000    0.000    0.056    0.002 dataclasses.py:1257(wrap)
       51    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
       66    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       81    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      204    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        8    0.000    0.000    0.001    0.000 _models.py:144(__init__)
       29    0.000    0.000    0.002    0.000 typing.py:1548(__getitem__)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
      135    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
    26/16    0.000    0.000    0.308    0.019 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 _eventloop.py:56(AsyncBackend)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
